"","VAR1","VAR2"
"1",-0.0150047,0.89912
"2",0.586157,0.954983
"3",0.668851,0.354134
"4",0.312175,-0.120727
"5",0.312175,-0.120727
"6",0.37648,0.400614
"7",0.529061,0.828972
"8",0.0854728,0.462494
"9",-0.00945337,0.348514
"10",0.643939,0.169246
"11",0.439466,0.589919
"12",0.595178,0.841635
"13",0.753531,0.157503
"14",0.435311,-0.173434
"15",0.336484,0.364181
"16",0.699624,0.373121
"17",0.787642,0.883002
"18",0.158422,0.400136
"19",0.300156,0.379834
"20",0.54618,0.82823
"21",0.732755,0.369757
"22",0.418825,0.303974
"23",0.728966,0.621241
"24",0.0803355,0.966152
"25",0.240723,0.550673
"26",0.40508,0.118101
"27",0.0307372,-0.0606916
"28",0.595178,0.841635
"29",0.52454,-0.0301577
"30",0.753531,0.157503
"31",0.713501,0.768034
"32",0.65541,-0.147452
"33",0.283313,0.413839
"34",0.900215,0.339069
"35",0.134534,0.900517
"36",0.832831,0.903666
"37",0.668851,0.354134
"38",0.702252,0.331594
"39",0.312175,-0.120727
"40",0.679887,-0.0230094
"41",0.50632,0.431882
"42",-0.00945337,0.348514
"43",0.402814,0.467003
"44",0.336735,0.695858
"45",0.586676,0.744231
"46",0.313212,0.621881
"47",0.354957,0.888949
"48",0.901926,0.357986
"49",0.404477,0.551605
"50",0.595178,0.841635
"51",0.134534,0.900517
"52",0.35984,0.607482
"53",0.239569,0.29635
"54",0.595178,0.841635
"55",0.538655,0.267751
"56",0.598886,0.574735
"57",1.10342,0.640623
"58",0.82932,0.831804
"59",0.337279,-0.0650845
"60",0.303586,0.06372
"61",0.682367,0.441757
"62",0.700868,0.3159
"63",0.543558,0.401069
"64",0.0940223,0.557259
"65",0.0854728,0.462494
"66",0.0854728,0.462494
"67",0.586676,0.744231
"68",0.435311,-0.173434
"69",0.435311,-0.173434
"70",0.538655,0.267751
"71",0.38635,0.499175
"72",0.586676,0.744231
"73",0.603872,0.744911
"74",0.354957,0.888949
"75",0.0545433,1.19962
"76",0.0854728,0.462494
"77",0.682367,0.441757
"78",0.0307372,-0.0606916
"79",-0.0150047,0.89912
"80",0.37648,0.400614
"81",0.529061,0.828972
"82",0.239569,0.29635
"83",0.40508,0.118101
"84",-0.185681,0.449
"85",0.337279,-0.0650845
"86",0.277942,0.278591
"87",0.00257243,1.10888
"88",0.577615,0.783991
"89",0.595178,0.841635
"90",0.429412,0.673556
"91",0.789989,-0.169945
"92",0.391645,-0.0424225
"93",0.868141,0.35593
"94",0.65541,-0.147452
"95",0.215345,0.478025
"96",0.577615,0.783991
"97",0.595178,0.841635
"98",0.603872,0.744911
"99",1.04477,0.528273
"100",0.404477,0.551605
"101",0.767948,0.927831
"102",0.515739,0.385974
"103",0.418825,0.303974
"104",0.300156,0.379834
"105",0.506402,0.633477
"106",0.277942,0.278591
"107",1.07388,0.827987
"108",0.312175,-0.120727
"109",0.283313,0.413839
"110",0.787642,0.883002
"111",0.40508,0.118101
"112",0.700868,0.3159
"113",0.209141,0.271427
"114",0.823313,1.03825
"115",0.668851,0.354134
"116",0.303586,0.06372
"117",0.893174,0.463446
"118",0.0854728,0.462494
"119",0.402814,0.467003
"120",0.577615,0.783991
"121",0.465685,0.504046
"122",0.347374,0.454151
"123",0.372678,0.632886
"124",0.692211,0.548769
"125",0.502275,0.837917
"126",0.336735,0.695858
"127",0.447706,0.721362
"128",0.219201,0.418524
"129",0.679887,-0.0230094
"130",0.300156,0.379834
"131",0.277942,0.278591
"132",0.0307372,-0.0606916
"133",0.209141,0.271427
"134",0.518652,0.5847
"135",0.447706,0.721362
"136",0.661105,0.197218
"137",0.313212,0.621881
"138",0.172303,0.674535
"139",0.867429,0.339454
"140",0.40508,0.118101
"141",0.767948,0.927831
"142",0.692211,0.548769
"143",0.6377,0.413158
"144",1.07388,0.827987
"145",0.700868,0.3159
"146",0.6377,0.413158
"147",0.900215,0.339069
"148",0.867429,0.339454
"149",0.219201,0.418524
"150",0.372678,0.632886
"151",-0.185681,0.449
"152",0.753531,0.157503
"153",0.313212,0.621881
"154",0.598886,0.574735
"155",0.901926,0.357986
"156",0.447706,0.721362
"157",0.447706,0.721362
"158",0.753531,0.157503
"159",0.418825,0.303974
"160",0.603872,0.744911
"161",0.11451,0.609931
"162",0.219201,0.418524
"163",0.668851,0.354134
"164",0.728966,0.621241
"165",0.767948,0.927831
"166",0.219201,0.418524
"167",0.713501,0.768034
"168",0.991079,0.820548
"169",0.230619,0.432613
"170",0.447706,0.721362
"171",0.893174,0.463446
"172",0.225774,0.16756
"173",0.832831,0.903666
"174",0.823313,1.03825
"175",0.429412,0.673556
"176",0.347374,0.454151
"177",0.410949,0.878967
"178",0.692211,0.548769
"179",0.679887,-0.0230094
"180",0.357126,0.124673
"181",0.435311,-0.173434
"182",0.700868,0.3159
"183",0.700868,0.3159
"184",0.38635,0.499175
"185",0.478818,0.78059
"186",0.478818,0.78059
"187",0.506402,0.633477
"188",0.239569,0.29635
"189",0.851,0.806483
"190",0.0940223,0.557259
"191",0.732755,0.369757
"192",0.337279,-0.0650845
"193",0.867429,0.339454
"194",0.354957,0.888949
"195",0.543558,0.401069
"196",0.577615,0.783991
"197",0.478818,0.78059
"198",0.661105,0.197218
"199",0.506402,0.633477
"200",0.209141,0.271427
"201",0.991079,0.820548
"202",0.283313,0.413839
"203",0.225774,0.16756
"204",0.439466,0.589919
"205",0.598886,0.574735
"206",1.00008,0.312251
"207",0.283313,0.413839
"208",0.134534,0.900517
"209",0.404477,0.551605
"210",0.543558,0.401069
"211",-0.00945337,0.348514
"212",0.991079,0.820548
"213",0.312569,0.837281
"214",0.0307372,-0.0606916
"215",0.586676,0.744231
"216",-0.00945337,0.348514
"217",0.38635,0.499175
"218",0.518652,0.5847
"219",0.789989,-0.169945
"220",0.300156,0.379834
"221",0.901926,0.357986
"222",0.502275,0.837917
"223",0.692211,0.548769
"224",0.134534,0.900517
"225",0.54618,0.82823
"226",0.0940223,0.557259
"227",0.893174,0.463446
"228",-0.110493,1.16716
"229",0.336735,0.695858
"230",0.447706,0.721362
"231",0.337279,-0.0650845
"232",0.336735,0.695858
"233",0.54618,0.82823
"234",0.82932,0.831804
"235",0.357126,0.124673
"236",0.313212,0.621881
"237",0.586157,0.954983
"238",0.240723,0.550673
"239",0.00257243,1.10888
"240",0.303586,0.06372
"241",0.692211,0.548769
"242",0.50632,0.431882
"243",0.230619,0.432613
"244",0.713501,0.768034
"245",0.11451,0.609931
"246",0.577615,0.783991
"247",-0.0150047,0.89912
"248",0.0803355,0.966152
"249",0.65541,-0.147452
"250",0.312175,-0.120727
"251",0.900215,0.339069
"252",0.506402,0.633477
"253",0.586157,0.954983
"254",0.823313,1.03825
"255",0.391645,-0.0424225
"256",0.336484,0.364181
"257",0.702252,0.331594
"258",0.901926,0.357986
"259",1.07388,0.827987
"260",1.07388,0.827987
"261",0.577615,0.783991
"262",0.643939,0.169246
"263",0.529061,0.828972
"264",0.354957,0.888949
"265",0.240723,0.550673
"266",0.6377,0.413158
"267",0.435311,-0.173434
"268",0.354957,0.888949
"269",0.991079,0.820548
"270",0.354303,0.607367
"271",0.402814,0.467003
"272",0.172303,0.674535
"273",0.402814,0.467003
"274",0.240723,0.550673
"275",0.893174,0.463446
"276",0.429412,0.673556
"277",0.851,0.806483
"278",0.661105,0.197218
"279",0.515739,0.385974
"280",0.00257243,1.10888
"281",0.38635,0.499175
"282",1.10232,0.622243
