"","V1"
"400",0.900784
"401",0.886004
"402",0.903592
"403",0.469292
"404",0.46688
"405",0.226774
"406",0.273935
"407",0.231406
"408",0.384746
"409",0.582725
"410",0.7987
"411",0.462663
"412",0.422742
"413",0.554558
"414",0.248269
"415",0.555672
"416",0.534315
"417",0.766364
"418",0.28377
"419",0.36815
"420",0.898758
"421",0.503126
"422",0.906413
"423",0.184382
"424",0.989053
"425",0.354373
"426",0.604808
"427",0.29499
"428",0.808946
"429",0.45726
"430",0.739067
"431",0.898704
"432",0.609407
"433",0.765464
"434",0.489686
"435",0.718835
"436",0.942684
"437",0.772005
"438",0.338796
"439",0.31555
"440",0.480213
"441",0.22181
"442",0.784374
"443",0.632217
"444",0.567327
"445",0.196633
"446",0.728579
"447",0.299556
"448",0.472184
"449",0.423389
"450",0.893954
"451",0.575671
"452",0.361574
"453",0.330274
"454",0.386581
"455",0.649823
"456",0.501949
"457",0.402042
"458",0.344365
"459",0.70198
"460",0.171832
"461",0.367583
"462",0.347333
"463",0.339579
"464",0.385075
"465",0.329849
"466",0.426608
"467",0.329597
"468",0.448489
"469",0.928994
"470",0.432997
"471",0.551221
"472",0.941082
"473",0.893265
"474",0.676785
"475",0.707131
"476",0.526159
"477",0.395523
"478",0.877522
"479",0.135616
"480",0.967295
"481",0.56196
"482",0.689299
"483",0.274127
"484",0.285753
"485",0.395458
"486",0.352445
"487",0.232446
"488",0.0689875
"489",0.915475
"490",0.906413
"491",0.898098
"492",0.444806
"493",0.354614
"494",0.275997
"495",0.305148
"496",0.100888
"497",0.639375
"498",0.157298
"499",0.367086
"500",0.820021
"501",0.680236
"502",0.458747
"503",0.497761
"504",0.697055
"505",0.366078
"506",0.109486
"507",0.256578
"508",0.907539
"509",0.552631
"510",0.685718
"511",0.543678
"512",0.3591
"513",0.848323
"514",0.888737
"515",0.215381
"516",0.908675
"517",0.135616
"518",0.569581
"519",0.352936
"520",0.393078
"521",0.527008
"522",0.28377
"523",0.868728
"524",0.910459
"525",0.657093
"526",0.521521
"527",0.313981
"528",0.679468
"529",0.733824
"530",0.403925
"531",0.403925
"532",0.18996
"533",0.249277
"534",0.330762
"535",0.272956
"536",0.379743
"537",0.653632
"538",0.207141
"539",0.450938
"540",0.647451
"541",0.660473
"542",0.59518
"543",0.271744
"544",0.553191
"545",0.74098
"546",0.512717
"547",0.991335
"548",0.346563
"549",0.117
"550",0.112347
"551",0.263297
"552",0.392242
"553",0.275609
"554",0.701403
"555",0.260329
"556",0.377033
"557",0.262276
"558",0.277671
"559",0.616506
"560",0.774641
"561",0.458833
"562",0.314672
"563",0.811517
"564",0.77454
"565",0.718552
"566",0.674244
"567",0.409565
"568",0.908675
"569",0.257904
"570",0.45807
"571",0.471433
"572",0.38996
"573",0.559725
"574",0.89341
"575",0.35684
"576",0.126913
"577",0.210545
"578",0.77521
"579",0.698275
"580",0.557976
"581",0.299773
"582",0.682307
"583",0.650333
"584",0.529606
"585",0.658307
"586",0.85412
"587",0.998023
"588",0.761786
"589",0.330762
"590",0.645043
"591",0.246186
"592",0.166632
"593",0.774437
"594",0.400479
"595",0.276236
"596",0.296605
"597",0.769984
"598",0.45117
"599",0.792117
"600",0.893954
"601",0.191291
"602",0.290909
"603",0.191105
"604",0.632828
"605",0.296376
"606",0.391604
"607",0.458021
"608",0.880993
"609",0.309064
"610",0.651898
"611",0.915906
"612",0.427862
"613",0.559565
"614",0.473227
"615",0.406676
"616",0.250334
"617",0.283501
"618",0.570521
"619",0.413456
"620",0.616443
"621",0.517029
"622",0.733673
"623",0.43766
"624",0.319154
"625",0.334539
"626",0.531375
"627",0.841134
"628",0.140058
"629",0.315826
"630",0.527008
"631",0.40263
"632",0.503434
"633",0.898955
"634",0.328191
"635",0.651215
"636",0.53006
"637",0.71189
"638",0.829437
"639",0.587329
"640",0.641331
"641",0.38625
"642",0.632881
"643",0.768404
"644",0.359705
"645",0.293689
"646",0.326704
"647",0.32806
"648",0.621913
"649",0.844904
"650",0.945517
"651",0.245638
"652",0.752627
"653",0.23049
"654",0.269249
"655",0.769228
"656",0.844158
"657",0.369352
"658",0.910677
"659",0.16846
"660",0.668795
"661",0.450327
"662",0.298282
"663",0.745925
"664",0.639035
"665",0.706974
"666",0.67085
"667",0.743414
"668",0.314741
"669",0.612097
"670",0.605283
"671",0.684452
"672",0.628922
"673",0.261522
"674",0.660026
"675",0.527512
"676",0.41796
"677",0.666659
"678",0.407693
"679",0.56275
"680",0.176577
"681",0.326888
"682",0.269286
"683",0.447294
"684",0.303052
"685",0.911122
"686",0.550173
"687",0.706364
"688",0.239192
"689",0.63024
"690",0.81495
"691",0.73521
"692",0.441399
"693",0.635839
"694",0.691372
"695",0.469292
"696",0.173057
"697",0.89806
"698",0.239195
"699",0.544803
"700",0.705249
"701",0.0800288
"702",0.91971
"703",0.131233
"704",0.971541
"705",0.452685
"706",0.239934
"707",0.348021
"708",0.928535
"709",0.517042
"710",0.964751
"711",0.393555
"712",0.886075
"713",0.661997
"714",0.868875
"715",0.392467
"716",0.433631
"717",0.978492
"718",0.589515
"719",0.77521
"720",0.289778
"721",0.302231
"722",0.859829
"723",0.662355
"724",0.303658
"725",0.643947
"726",0.354614
"727",0.101605
"728",0.332119
"729",0.255179
"730",0.607101
"731",0.423773
"732",0.343818
"733",0.466661
"734",0.989053
"735",0.246186
"736",0.655099
"737",0.391388
"738",0.270171
"739",0.661001
"740",0.647461
"741",0.554612
"742",0.918617
"743",0.707988
"744",0.610097
"745",0.269774
"746",0.326076
"747",0.544148
"748",0.340792
"749",0.680465
"750",0.919958
"751",0.981446
"752",0.251526
"753",0.513295
"754",0.253903
"755",0.417224
"756",0.281954
"757",0.306632
"758",0.883266
"759",0.544734
"760",0.602991
"761",0.37149
"762",0.342712
"763",0.524611
"764",0.900295
"765",0.632881
"766",0.919196
"767",0.2696
"768",0.981564
"769",0.9297
"770",0.991335
"771",0.340263
"772",0.76467
"773",0.731838
"774",0.52659
"775",0.151359
"776",0.367795
"777",0.308324
"778",0.578924
"779",0.763586
"780",0.293791
"781",0.379569
"782",0.395458
"783",0.663279
"784",0.265924
"785",0.34585
"786",0.369273
"787",0.245749
"788",0.538774
"789",0.123082
"790",0.804425
"791",0.567327
"792",0.739101
"793",0.689625
"794",0.721014
"795",0.763878
"796",0.410196
"797",0.934231
"798",0.669214
"799",0.386738
"800",0.581471
"801",0.395857
"802",0.284137
"803",0.398656
"804",0.600335
"805",0.231365
"806",0.84534
"807",0.679245
"808",0.808537
"809",0.182114
"810",0.303658
"811",0.453707
"812",0.31879
"813",0.167683
"814",0.313149
"815",0.138288
"816",0.39266
"817",0.975815
"818",0.874881
"819",0.78039
"820",0.504902
"821",0.427585
"822",0.833911
"823",0.719576
"824",0.824217
"825",0.592255
"826",0.135616
"827",0.45726
"828",0.880512
"829",0.35587
"830",0.952584
"831",0.269249
"832",0.346277
"833",0.41877
"834",0.70718
"835",0.710663
"836",0.385216
"837",0.833348
"838",0.38002
"839",0.169749
"840",0.976626
"841",0.865454
"842",0.262276
"843",0.812021
"844",0.984078
"845",0.325317
"846",0.901067
"847",0.757572
"848",0.982914
"849",0.339414
"850",0.791064
"851",0.844519
"852",0.265531
"853",0.602085
"854",0.705591
"855",0.699928
"856",0.743037
"857",0.250015
"858",0.415764
"859",0.410884
"860",0.942684
"861",0.694957
"862",0.316172
"863",0.674392
"864",0.264438
"865",0.144498
"866",0.783624
"867",0.418014
"868",0.183411
"869",0.304519
"870",0.229855
"871",0.901038
"872",0.315826
"873",0.252912
"874",0.745925
"875",0.60606
"876",0.915921
"877",0.504301
"878",0.469112
"879",0.382302
"880",0.329739
"881",0.21198
"882",0.623037
"883",0.854176
"884",0.303658
"885",0.688341
"886",0.654214
"887",0.348867
"888",0.818741
"889",0.357017
"890",0.518868
"891",0.348118
"892",0.991335
"893",0.991335
"894",0.395932
"895",0.337405
"896",0.628585
"897",0.711039
"898",0.338506
"899",0.993468
"900",0.908599
"901",0.94461
"902",0.883317
"903",0.24645
"904",0.85231
"905",0.422775
"906",0.807041
"907",0.652292
"908",0.977243
"909",0.227409
"910",0.45726
"911",0.505866
"912",0.732234
"913",0.281404
"914",0.296546
"915",0.49767
"916",0.640736
"917",0.413861
"918",0.761814
"919",0.681462
"920",0.649633
"921",0.36915
"922",0.902342
"923",0.769379
"924",0.631574
"925",0.284788
"926",0.902737
"927",0.897713
"928",0.234082
"929",0.311245
"930",0.354614
"931",0.908675
"932",0.547056
"933",0.578947
"934",0.900217
"935",0.324612
"936",0.630021
"937",0.140653
"938",0.527008
"939",0.241367
"940",0.69492
"941",0.288446
"942",0.543905
"943",0.299556
"944",0.25528
"945",0.780473
"946",0.620321
"947",0.41124
"948",0.259119
"949",0.407693
"950",0.335886
"951",0.392797
"952",0.971541
"953",0.908976
"954",0.787736
"955",0.85391
"956",0.833348
"957",0.219641
"958",0.238484
"959",0.674192
"960",0.300204
"961",0.285753
"962",0.194388
"963",0.833477
"964",0.245638
"965",0.882222
"966",0.538144
"967",0.262276
"968",0.351698
"969",0.163269
"970",0.407142
"971",0.389547
"972",0.204987
"973",0.267616
"974",0.922163
"975",0.721482
"976",0.711223
"977",0.314076
"978",0.734128
"979",0.25257
"980",0.521881
"981",0.723432
"982",0.379801
"983",0.279202
"984",0.648599
"985",0.801674
"986",0.597439
"987",0.645745
"988",0.959369
"989",0.560005
"990",0.772623
"991",0.354611
"992",0.332396
"993",0.446769
"994",0.171712
"995",0.977066
"996",0.227118
"997",0.21419
"998",0.469292
"999",0.585072
"1000",0.350352
"1001",0.383367
"1002",0.39993
"1003",0.609321
"1004",0.385753
"1005",0.317916
"1006",0.390018
"1007",0.546365
"1008",0.30084
"1009",0.45726
"1010",0.239195
"1011",0.617414
"1012",0.989053
"1013",0.38625
"1014",0.863332
"1015",0.244105
"1016",0.892155
"1017",0.344661
"1018",0.432756
