"","x","y"
"1",3.34586,1.9443
"2",4.49838,3.51124
"3",8.0079,4.94945
"4",6.24599,11.3292
"5",6.42857,10.3693
"6",5.27302,10.554
"7",7.57065,0.931951
"8",2.20999,7.28971
"9",2.31841,5.45449
"10",5.83982,9.71894
"11",1.91343,6.184
"12",11.0176,3.87469
"13",10.0937,9.51062
"14",0.891963,11.2492
"15",6.73416,5.34101
"16",8.81962,8.64068
"17",9.91101,0.873931
"18",0.80925,5.89578
"19",1.83883,9.73241
"20",3.23541,3.06644
"21",7.00487,10.057
"22",8.1732,9.98073
"23",8.78819,7.32736
"24",1.81735,2.14437
"25",6.84981,6.39599
"26",6.99966,7.60154
"27",2.48423,11.1487
"28",11.2372,4.73306
"29",7.77544,11.1014
"30",9.32964,9.92948
"31",10.2947,2.68926
"32",8.86435,11.1899
"33",4.56573,7.12878
"34",9.35134,8.60951
"35",0.615355,3.0777
"36",9.42818,2.99117
"37",7.67065,5.62912
"38",11.0363,7.73552
"39",6.41787,10.9473
"40",11.2228,9.43357
"41",5.45646,8.46059
"42",1.88319,5.6307
"43",8.57797,5.8634
"44",2.18122,3.48481
"45",5.32001,5.73615
"46",4.48451,1.34053
"47",0.670669,4.42238
"48",10.1687,7.93816
"49",5.53476,6.31296
"50",11.1359,4.02411
"51",1.09676,3.33865
"52",2.80715,4.37573
"53",2.87178,6.54799
"54",11.2573,4.17378
"55",7.80237,7.85352
"56",5.36447,1.91875
"57",11.5009,1.67079
"58",10.8204,1.86471
"59",4.44737,10.1162
"60",3.12221,10.1996
"61",5.10241,3.27031
"62",11.028,6.5365
"63",2.91945,11.1339
"64",4.09518,8.65834
"65",2.51409,8.05349
"66",2.24702,7.51077
"67",5.66031,5.34818
"68",0.727482,11.3346
"69",0.862991,11.3041
"70",7.68699,7.16502
"71",7.5858,6.9381
"72",5.3099,5.66836
"73",4.07739,4.99374
"74",1.01479,4.64667
"75",1.89775,0.507579
"76",2.01928,7.55444
"77",5.07896,3.03511
"78",2.70326,10.8752
"79",3.09365,2.23456
"80",5.07921,11.131
"81",7.7959,0.914863
"82",3.62922,6.21044
"83",6.50041,7.32739
"84",0.73696,8.70305
"85",4.31258,10.1558
"86",0.746614,6.85039
"87",2.02998,1.15435
"88",7.5544,4.7207
"89",10.6928,3.86783
"90",3.36321,7.79457
"91",9.54285,10.8397
"92",4.06247,11.1066
"93",10.4126,5.79596
"94",9.13131,10.9352
"95",4.21037,6.21531
"96",7.77821,4.84448
"97",10.7754,4.72095
"98",4.6828,4.94059
"99",10.0543,3.86207
"100",5.44219,6.26184
"101",5.27728,0.617863
"102",3.57781,5.29143
"103",7.13138,9.85851
"104",2.28279,9.54652
"105",3.20548,0.872815
"106",0.928545,6.00018
"107",11.145,0.929701
"108",6.51133,11.1842
"109",4.20223,7.94059
"110",9.94657,0.619654
"111",6.53814,7.67637
"112",11.2674,6.31128
"113",2.20909,8.29036
"114",8.69098,1.02635
"115",7.89185,5.64414
"116",3.31904,10.217
"117",9.22116,9.81274
"118",2.01063,7.14722
"119",8.94048,5.63507
"120",7.81753,4.27057
"121",6.19163,8.93428
"122",1.17537,8.04561
"123",7.78352,3.2944
"124",7.92177,1.95521
"125",6.60326,4.37997
"126",2.27399,3.61277
"127",6.33966,0.78957
"128",4.02603,3.90154
"129",11.2341,9.74863
"130",2.31325,9.92883
"131",1.36513,6.66374
"132",1.84698,10.8813
"133",2.37723,8.56433
"134",7.3111,8.5243
"135",6.65974,0.975639
"136",11.2099,8.55702
"137",4.16086,1.47253
"138",4.91264,4.18073
"139",11.15,11.1056
"140",6.7877,7.87786
"141",5.35858,1.12613
"142",7.666,2.3161
"143",10.1878,6.01371
"144",11.261,0.839009
"145",11.2877,6.09683
"146",9.87031,6.88118
"147",9.54032,8.61718
"148",10.9491,11.3641
"149",3.99837,4.59419
"150",7.59978,3.32569
"151",1.11537,8.68224
"152",9.40788,9.92194
"153",4.24656,1.54947
"154",5.56087,2.25113
"155",10.0527,7.20162
"156",6.83426,1.50489
"157",6.4649,1.34735
"158",10.1331,9.27768
"159",7.91258,9.73622
"160",4.49049,5.2529
"161",0.569787,2.45924
"162",3.97279,4.59136
"163",7.66105,5.66236
"164",8.90439,7.52111
"165",5.2514,1.18946
"166",4.27633,4.23179
"167",9.58879,1.78181
"168",8.34986,3.83342
"169",5.66568,7.26642
"170",6.17512,0.871019
"171",9.0904,9.71762
"172",0.862157,10.0622
"173",9.96906,2.95152
"174",8.55852,1.22451
"175",3.45978,7.20696
"176",0.762563,7.87517
"177",9.16174,2.68504
"178",7.89567,2.09094
"179",11.1625,10.0008
"180",3.1688,8.46789
"181",0.597072,11.0054
"182",11.0573,6.40081
