"","V1"
"639",41
"640",87
"641",25
"642",36
"643",55
"644",50
"645",45
"646",69
"647",57
"648",77
"649",75
"650",3
"651",7
"652",29
"653",54
"654",72
"655",14
"656",37
"657",6
"658",78
"659",6
"660",22
"661",47
"662",1
"663",59
"664",58
"665",1
"666",15
"667",25
"668",82
"669",18
"670",60
"671",13
"672",99
"673",77
"674",79
"675",11
"676",73
"677",27
"678",70
"679",9
"680",67
"681",93
"682",64
"683",99
"684",37
"685",47
"686",27
"687",38
"688",16
"689",88
"690",8
"691",37
"692",28
"693",61
"694",44
"695",7
"696",48
"697",9
"698",56
"699",53
"700",61
"701",83
"702",11
"703",11
"704",73
"705",62
"706",25
"707",62
"708",53
"709",21
"710",18
"711",9
"712",41
"713",82
"714",93
"715",87
"716",83
"717",21
"718",49
"719",5
"720",99
"721",56
"722",92
"723",74
"724",23
"725",31
"726",75
"727",89
"728",64
"729",94
"730",76
"731",90
"732",24
"733",32
"734",87
"735",12
"736",84
"737",45
"738",99
"739",17
"740",4
"741",63
"742",85
"743",57
"744",53
"745",17
"746",86
"747",52
"748",7
"749",27
"750",10
"751",18
"752",19
"753",64
"754",69
"755",7
"756",55
"757",6
"758",1
"759",79
"760",88
"761",84
"762",23
"763",17
"764",38
"765",77
"766",50
"767",47
"768",38
"769",93
"770",5
"771",48
"772",18
"773",59
"774",30
"775",97
"776",33
"777",20
"778",25
"779",76
"780",29
"781",26
"782",11
"783",71
"784",91
"785",59
"786",39
"787",91
"788",64
"789",71
"790",99
"791",65
"792",11
"793",36
"794",28
"795",61
"796",78
"797",79
"798",73
"799",28
"800",56
"801",64
"802",73
"803",68
"804",99
"805",42
"806",9
"807",26
"808",100
"809",55
"810",4
"811",24
"812",95
"813",24
"814",95
"815",44
"816",69
"817",4
"818",7
"819",35
"820",94
"821",45
"822",40
"823",94
"824",61
"825",78
"826",92
"827",97
"828",25
"829",84
"830",51
"831",80
"832",90
"833",23
"834",42
"835",55
"836",66
"837",30
"838",11
"839",69
"840",73
"841",36
"842",93
"843",90
"844",12
"845",49
"846",32
"847",32
"848",57
"849",79
"850",65
"851",33
"852",81
"853",12
"854",92
"855",92
"856",100
"857",20
"858",33
"859",51
"860",62
"861",87
"862",70
"863",13
"864",73
"865",54
"866",81
"867",92
"868",65
"869",12
"870",27
"871",33
"872",88
"873",11
"874",35
"875",73
"876",35
"877",24
"878",88
"879",1
"880",52
"881",45
"882",22
"883",30
"884",68
"885",51
"886",4
"887",61
"888",2
"889",1
"890",34
"891",71
"892",82
"893",16
"894",84
"895",19
"896",100
"897",67
"898",41
"899",91
"900",49
"901",49
"902",31
"903",84
"904",88
"905",71
"906",50
"907",4
"908",57
"909",13
"910",73
"911",18
"912",77
"913",6
"914",20
"915",59
"916",25
"917",20
"918",78
"919",2
"920",39
"921",21
"922",39
"923",59
"924",78
"925",4
"926",73
"927",71
"928",68
"929",28
"930",34
"931",98
"932",52
"933",97
"934",32
"935",56
"936",56
"937",97
"938",81
"939",100
"940",99
"941",92
"942",61
"943",23
"944",98
"945",3
"946",76
"947",33
"948",98
"949",56
"950",15
"951",34
"952",32
"953",2
"954",22
"955",30
"956",81
"957",95
"958",35
"959",34
"960",24
"961",60
"962",52
"963",95
"964",6
"965",9
"966",3
"967",70
"968",78
"969",18
"970",76
"971",27
"972",80
"973",28
"974",21
"975",9
"976",92
"977",84
"978",83
"979",33
"980",4
"981",4
"982",7
"983",54
"984",56
"985",92
"986",94
"987",46
"988",3
"989",9
"990",17
"991",38
"992",50
"993",64
"994",44
"995",22
"996",12
"997",84
"998",100
"999",40
"1000",5
"1001",2
"1002",47
"1003",100
"1004",51
"1005",49
"1006",1
"1007",31
"1008",22
"1009",83
"1010",67
"1011",27
"1012",26
"1013",38
"1014",31
"1015",68
"1016",94
"1017",45
"1018",50
"1019",57
"1020",60
"1021",51
"1022",57
"1023",98
"1024",9
"1025",90
"1026",67
"1027",11
"1028",56
"1029",29
"1030",69
"1031",3
"1032",26
"1033",15
"1034",24
"1035",28
"1036",43
