"","V1"
"1",0.566545
"2",0.495594
"3",0.978095
"4",0.948958
"5",0.843014
"6",0.544076
"7",0.626363
"8",0.611869
"9",0.591288
"10",0.485031
"11",0.590535
"12",0.91578
"13",0.424891
"14",0.791422
"15",0.766545
"16",0.983258
"17",0.828307
"18",0.999979
"19",0.645928
"20",0.57626
"21",0.835308
"22",0.796068
"23",0.920467
"24",0.939719
"25",0.96547
"26",0.722439
"27",0.802188
"28",0.524097
"29",0.840144
"30",0.946877
"31",0.960026
"32",0.802188
"33",0.868589
"34",0.555688
"35",0.805071
"36",0.96971
"37",0.940007
"38",0.45142
"39",0.911423
"40",0.712443
"41",0.891351
"42",0.95696
"43",0.766524
"44",0.42193
"45",0.962756
"46",0.73955
"47",0.5101
"48",0.468817
"49",0.613215
"50",0.999856
"51",0.540643
"52",0.507917
"53",0.773516
"54",0.935242
"55",0.817438
"56",0.999303
"57",0.97037
"58",0.725647
"59",0.428665
"60",0.999611
"61",0.548623
"62",0.399247
"63",0.645928
"64",0.9984
"65",0.648326
"66",0.955666
"67",0.956058
"68",0.496201
"69",0.838648
"70",0.984881
"71",0.955914
"72",0.946726
"73",0.712781
"74",0.956259
"75",0.814614
"76",0.996322
"77",0.548623
"78",0.584632
"79",0.958991
"80",0.999303
"81",0.513941
"82",0.988666
"83",0.5134
"84",0.648401
"85",0.808617
"86",0.78549
"87",0.629625
"88",0.721655
"89",0.811114
"90",0.970333
"91",0.380355
"92",0.997286
"93",0.614888
"94",0.843014
"95",0.899559
"96",0.955961
"97",0.854485
"98",0.574307
"99",0.957611
"100",0.290214
"101",0.725647
"102",0.654796
"103",0.959309
"104",0.951733
"105",0.714465
"106",0.664095
"107",0.598919
"108",0.47444
"109",0.523482
"110",0.75273
"111",0.906524
"112",0.448387
"113",0.881166
"114",0.396153
"115",0.574307
"116",0.562821
"117",0.576772
"118",0.920467
"119",0.994943
"120",0.640656
"121",0.627503
"122",0.992565
"123",0.851677
"124",0.61976
"125",0.778548
"126",0.95815
"127",0.783278
"128",0.825461
"129",0.580153
"130",0.980826
"131",0.576772
"132",0.550113
"133",0.739821
"134",0.814614
"135",0.78549
"136",0.9984
"137",0.669138
"138",0.906524
"139",0.984854
"140",0.947299
"141",0.69472
"142",0.580153
"143",0.651532
"144",0.744698
"145",0.640629
"146",0.990711
"147",0.515772
"148",0.686554
"149",0.999996
"150",0.766281
"151",0.817457
"152",0.513941
"153",0.577471
"154",0.523482
"155",0.993288
"156",0.789513
"157",0.478541
"158",0.985801
"159",0.537561
"160",0.945311
"161",0.433151
"162",0.999444
"163",0.634039
"164",0.939719
"165",0.527963
"166",0.93355
"167",0.99703
"168",0.469153
"169",0.999979
"170",0.956264
"171",0.964474
"172",0.562821
"173",0.995278
"174",0.831267
"175",0.515928
"176",0.784285
"177",0.560071
"178",0.859562
"179",0.958113
"180",0.74883
"181",0.997916
"182",0.843014
"183",0.479567
"184",0.928304
"185",0.996166
"186",0.778548
"187",0.762164
"188",0.983495
"189",0.896852
"190",0.73955
"191",0.999907
"192",0.989624
"193",0.981571
"194",0.994195
"195",0.978734
"196",0.804582
"197",0.441897
"198",0.999907
"199",0.998972
"200",0.949492
"201",0.935823
"202",0.874552
"203",0.614888
"204",0.739821
"205",0.998564
"206",0.534486
"207",0.756881
"208",0.961985
"209",0.99929
"210",0.987252
