"","VAR1","VAR2"
"1",0.60261,0.238422
"2",0.319767,0.320104
"3",0.789931,0.514492
"4",0.4904,0.907645
"5",0.76617,0.221846
"6",0.113978,0.238985
"7",0.725761,0.871999
"8",0.903808,0.315525
"9",0.496972,0.712289
"10",0.580749,0.115989
"11",0.736638,0.815595
"12",0.235575,0.721318
"13",0.835601,0.839046
"14",0.555014,0.854135
"15",0.686543,0.674079
"16",0.137514,0.709892
"17",0.736638,0.815595
"18",0.627993,0.166089
"19",0.723654,0.562806
"20",0.86568,0.182982
"21",0.392627,0.172708
"22",0.784812,0.258628
"23",0.845395,0.430455
"24",0.10645,0.653604
"25",0.835601,0.839046
"26",0.27233,0.606933
"27",0.343386,0.632651
"28",0.281537,0.192208
"29",0.795132,0.398047
"30",0.635587,0.526238
"31",0.867159,0.099069
"32",0.27233,0.606933
"33",0.476747,0.196587
"34",0.551476,0.274782
"35",0.763744,0.607956
"36",0.364834,0.395028
"37",0.314383,0.833743
"38",0.433842,0.549037
"39",0.236121,0.844643
"40",0.76617,0.221846
"41",0.538666,0.699112
"42",0.763744,0.607956
"43",0.637334,0.655083
"44",0.343386,0.632651
"45",0.392627,0.172708
"46",0.759707,0.819183
"47",0.513939,0.235928
"48",0.720449,0.122954
"49",0.320555,0.528536
"50",0.185796,0.501112
"51",0.826357,0.704589
"52",0.364556,0.326765
"53",0.292955,0.689471
"54",0.251904,0.83168
"55",0.254781,0.112376
"56",0.601815,0.305588
"57",0.795132,0.398047
"58",0.795132,0.398047
"59",0.835601,0.839046
"60",0.433842,0.549037
"61",0.686543,0.674079
"62",0.763744,0.607956
"63",0.364556,0.326765
"64",0.86568,0.182982
"65",0.60261,0.238422
"66",0.564178,0.453814
"67",0.602898,0.892258
"68",0.203389,0.151789
"69",0.564178,0.453814
"70",0.383112,0.900954
"71",0.538666,0.699112
"72",0.383112,0.900954
"73",0.686543,0.674079
"74",0.4904,0.907645
"75",0.833463,0.796435
"76",0.513939,0.235928
"77",0.455249,0.475739
"78",0.137514,0.709892
"79",0.405429,0.120829
"80",0.845395,0.430455
"81",0.319767,0.320104
"82",0.71768,0.484893
"83",0.76617,0.221846
"84",0.666278,0.691015
"85",0.723654,0.562806
"86",0.847369,0.372013
"87",0.113978,0.238985
"88",0.635587,0.526238
"89",0.137514,0.709892
"90",0.627993,0.166089
"91",0.406513,0.808821
"92",0.4904,0.907645
"93",0.838778,0.523254
"94",0.71768,0.484893
"95",0.736638,0.815595
"96",0.736638,0.815595
"97",0.4904,0.907645
"98",0.759707,0.819183
"99",0.723654,0.562806
"100",0.459986,0.348054
"101",0.251904,0.83168
"102",0.580749,0.115989
"103",0.140767,0.451111
"104",0.637334,0.655083
"105",0.774895,0.473393
"106",0.899791,0.681364
"107",0.281537,0.192208
"108",0.833463,0.796435
"109",0.513939,0.235928
"110",0.759707,0.819183
"111",0.518536,0.585022
"112",0.470819,0.107469
"113",0.140767,0.451111
"114",0.867159,0.099069
"115",0.343386,0.632651
"116",0.383112,0.900954
"117",0.364556,0.326765
