"","x","y"
"1",8.0758,9.95519
"2",3.32631,8.654
"3",10.2177,5.20182
"4",5.54582,1.26222
"5",10.0946,9.35459
"6",0.753748,9.72094
"7",8.95476,0.646298
"8",11.4233,8.41391
"9",5.61881,2.85027
"10",6.47137,10.9781
"11",8.95336,2.35027
"12",1.89097,3.06988
"13",11.1425,0.620462
"14",6.9109,0.945167
"15",8.95344,3.66178
"16",0.842384,3.00006
"17",8.91273,2.49106
"18",7.34234,11.1634
"19",8.78185,5.91499
"20",11.2666,9.36501
"21",4.40329,9.64304
"22",10.1844,8.9495
"23",11.3199,6.05117
"24",0.913214,4.70829
"25",11.4444,1.35161
"26",3.15643,4.34563
"27",4.90295,4.03876
"28",3.73393,9.81256
"29",9.32426,7.2533
"30",7.76097,5.35501
"31",10.6216,11.4443
"32",3.51338,4.52924
"33",5.49161,9.7944
"34",6.812,8.85525
"35",9.47357,4.12837
"36",3.97226,7.92162
"37",3.78742,1.44269
"38",5.70145,5.97608
"39",2.46681,1.63429
"40",10.2666,10.2495
"41",6.99639,3.26729
"42",9.83433,4.32277
"43",7.30071,4.33706
"44",4.3201,4.27572
"45",4.20314,9.79993
"46",10.266,1.95283
"47",6.89739,9.96883
"48",8.46987,11.0246
"49",3.15659,5.72461
"50",1.94785,5.74109
"51",9.91902,2.8614
"52",4.80867,9.08564
"53",3.25182,2.80882
"54",2.75673,2.41853
"55",2.96323,11.3867
"56",7.70656,9.04904
"57",10.1609,7.47951
"58",10.1332,7.69642
"59",11.3906,0.676408
"60",5.0444,5.21459
"61",8.24956,3.09636
"62",9.79628,4.22049
"63",4.22676,8.22815
"64",11.2338,9.86757
"65",8.16771,10.177
"66",6.83411,6.68126
"67",7.21466,0.657709
"68",2.63814,10.9284
"69",7.08967,6.66384
"70",4.24674,1.11685
"71",6.48925,2.92998
"72",4.45653,0.819032
"73",8.8754,3.59647
"74",5.64024,0.965256
"75",10.9666,2.49642
"76",7.05357,9.6709
"77",5.7911,6.45014
"78",1.11254,3.56508
"79",4.36005,10.9926
"80",10.8695,6.08956
"81",3.6476,8.70442
"82",8.28826,6.27104
"83",10.1697,9.40634
"84",7.90628,3.22962
"85",9.00881,5.76749
"86",11.1085,8.03757
"87",0.765996,9.52645
"88",7.99333,5.24203
"89",1.04026,2.98827
"90",7.31427,11.3645
"91",4.74725,2.46543
"92",5.11415,0.992375
"93",11.012,5.01319
