"","x","y"
"1",7.77432,6.33093
"2",3.44164,5.73653
"3",11.2556,10.3629
"4",1.08527,11.2602
"5",10.0457,4.90408
"6",7.86199,5.67853
"7",2.14657,7.69469
"8",4.41612,2.18037
"9",8.72961,1.83174
"10",4.5783,7.791
"11",3.96472,3.50815
"12",2.22883,9.34709
"13",7.7655,8.86027
"14",4.58726,4.13077
"15",6.78045,0.642312
"16",5.01196,6.54231
"17",2.16805,0.859228
"18",3.28342,7.63615
"19",10.9405,6.2353
"20",2.81662,8.62253
"21",7.84901,9.86349
"22",8.1178,3.17424
"23",3.07114,9.80778
"24",7.59064,8.07487
"25",7.84819,6.33726
"26",0.537733,10.3507
"27",9.48333,2.23984
"28",4.65169,9.6192
"29",0.795839,3.30738
"30",1.77735,2.96791
"31",4.40375,1.08817
"32",8.81044,8.52125
"33",0.858517,0.909057
"34",9.91311,11.2206
"35",6.06991,7.31735
"36",1.66096,11.0136
"37",8.91931,3.3186
"38",5.32849,0.632495
"39",4.35665,5.47608
"40",6.57841,4.3322
"41",5.61315,3.92092
"42",10.0814,7.92474
"43",2.96003,10.9318
"44",4.62566,2.4085
"45",5.4149,5.01221
"46",0.939465,8.87964
"47",3.38553,0.854418
"48",10.8393,4.1233
"49",6.74809,6.61958
"50",11.1864,6.36387
"51",11.1668,9.70128
"52",6.33164,8.8898
"53",6.58443,5.67864
"54",8.93513,6.56021
"55",3.90757,11.312
"56",6.50156,0.585449
"57",2.9594,6.6165
"58",5.86193,7.56568
"59",5.60636,5.26632
"60",11.1046,9.55843
"61",5.53019,11.2231
"62",2.44793,4.69634
"63",6.62427,10.2339
"64",4.55186,11.2708
"65",7.7001,9.94206
"66",2.42819,2.56665
"67",4.8597,2.24917
"68",3.31202,0.784458
"69",6.16923,11.205
"70",9.16459,4.08067
"71",4.00227,0.949775
"72",5.54476,3.96351
"73",8.17796,7.67392
"74",5.12683,9.10667
"75",8.67431,1.20631
"76",7.69084,0.863045
"77",4.51673,7.40305
"78",3.72591,3.14395
"79",2.07117,10.16
"80",6.5064,1.87863
"81",1.00955,9.71352
"82",2.1559,11.2561
"83",5.15692,1.75488
"84",7.94313,4.54839
"85",6.89142,11.3283
"86",9.91797,3.83163
"87",8.69326,9.18369
"88",2.99622,6.80158
"89",7.08495,11
"90",8.48615,1.06812
"91",7.10097,8.84596
"92",11.1457,3.68952
"93",11.0886,11.1593
"94",4.33306,4.34574
"95",10.2548,5.82772
"96",7.57601,1.78356
"97",4.72434,2.90191
"98",8.78137,9.92518
"99",8.13783,2.63711
"100",0.831185,5.47092
"101",4.15942,9.67193
"102",6.74814,7.27038
"103",6.86393,6.74558
"104",6.92522,10.1249
"105",1.7695,10.0124
"106",3.32712,5.22685
"107",5.20648,9.32954
"108",3.62417,7.96306
"109",10.9389,6.61647
"110",8.57607,5.27535
"111",8.06303,11.1044
"112",3.54907,7.72003
"113",10.9111,7.35025
"114",8.92757,9.96075
"115",6.06768,10.221
"116",5.91154,7.6587
"117",6.8167,6.80519
"118",0.508204,10.0669
"119",1.79677,10.393
"120",8.99052,1.22574
"121",9.84807,1.69088
"122",10.3901,11.0119
"123",0.776909,6.63511
"124",2.02602,0.967257
"125",1.31032,7.73713
"126",0.838601,2.87489
"127",6.77725,1.98831
"128",6.29764,2.89595
"129",10.1249,6.60438
"130",6.68806,11.0961
"131",2.86329,11.0793
"132",6.46826,1.67691
"133",7.66732,1.13478
"134",9.93666,9.9928
"135",3.53648,5.71278
"136",1.91428,1.75089
"137",1.98014,5.69181
"138",9.9383,5.47717
"139",6.48491,4.48723
"140",8.7387,9.79471
"141",0.746539,2.0556
"142",7.12828,3.48358
"143",4.00033,8.7386
"144",10.0262,3.17956
"145",10.1173,4.92843
